2011-08-14,10.4,10.0,10.54875989504298,17.353006999999995
2011-08-15,11.0,11.9,10.602878283301871,27.994951
2011-08-16,11.2,11.0,11.154615631383933,8.38531
2011-08-17,10.98,10.0,10.590188299047986,39.4532
2011-08-18,10.3,10.5,10.54918039971949,13.689600000000002
2011-08-19,10.49,11.29,10.948089282498012,45.52740000000001
2011-08-20,10.72,11.0,10.957651884079475,24.271799999999995
2011-08-21,11.28,11.01,11.545219942256587,67.85190000000001
2011-08-22,11.1,11.2,11.00623391699378,56.68250000000001
2011-08-23,10.9,10.75,10.800758019234214,20.0892
2011-08-24,10.61,10.7,10.795403504075196,33.618
2011-08-25,10.7,10.0,10.153702429247561,33.1296
2011-08-26,9.51,8.0,9.671103065732222,54.1926
2011-08-27,8.0,8.8,8.588888888888889,11.25
2011-08-28,8.5,8.8,8.538216560509554,1.57
2011-08-29,8.61,8.7,8.767851391515807,37.01
2011-08-30,8.7,8.8,8.695186799249834,37.058499999999995
2011-08-31,8.5,8.55,8.671288700141558,30.022500000000008
2011-09-01,8.5,8.125,8.192137217324646,11.7405
2011-09-02,8.125,8.42,8.209556500865077,20.2873
2011-09-03,8.42,8.75,8.631101429536411,27.2396
2011-09-04,8.75,8.215,8.400411622380938,43.85160000000001
2011-09-05,8.216,7.6,7.961537882811936,54.0311
2011-09-06,7.6,6.8,7.12827301868849,65.5109
2011-09-07,6.6,7.1,6.915631866488653,37.44999999999999
2011-09-08,7.0,6.5,6.701633623565234,58.459
2011-09-09,6.4,5.67,5.554109460509852,101.2493
2011-09-10,4.52,5.0,5.100384293117704,162.55040000000002
2011-09-11,4.8,5.5,5.153604271469968,1261.9871000000005
2011-09-12,6.2,5.821,6.086065842568439,403.7221000000002
2011-09-13,5.701,5.3,5.398963485994532,742.3672
2011-09-14,5.3,5.4,5.179977692171977,3125.3334000000013
2011-09-15,5.4,5.0,4.635252792052416,1058.0926000000002
2011-09-16,4.7,4.999,4.528796060254279,1432.3563999999985
2011-09-17,4.6,4.5,4.502204661806622,2735.681900000001
2011-09-18,4.5,4.78,4.514609661686521,3104.5614999999993
2011-09-19,4.8,5.9,4.692025275012352,3092.952
2011-09-20,5.3,5.777,5.862677274348962,3416.1908
2011-09-21,5.5,5.2,5.3890422724074165,3687.1522
2011-09-22,5.19,5.32,5.043567632581136,3588.5647999999987
2011-09-23,5.32,5.33,5.388276613932081,365.34529999999995
2011-09-24,5.33,5.2,5.110099705907365,4040.7675999999997
2011-09-25,5.2,4.9,5.0143200516260125,2766.047499999999
2011-09-26,5.1,4.5,4.689897697166287,2383.4373999999993
2011-09-27,4.5,4.57,4.572021108706043,7390.680399999995
2011-09-28,4.57,4.49,4.536352534557342,4162.284999999997
2011-09-29,4.5,4.466,4.508967733188957,3066.2869000000005
2011-09-30,4.5,5.0,4.6463042834282655,1794.8216999999997
2011-10-01,5.05,5.0,5.005933153007806,525.4941
2011-10-02,5.0,4.905,4.964528138662909,433.6329
2011-10-03,4.949,4.849,4.757953831128952,2332.231599999999
2011-10-04,4.703,4.7,4.687557191460242,3726.0116999999996
2011-10-05,4.62,4.7,4.643589219276592,3127.4469000000004
2011-10-06,4.7,4.49,4.528229748866719,2783.2751
2011-10-07,4.67,4.1,4.423814060696035,1166.9592999999995
2011-10-08,4.44,3.901,4.115213812706223,505.27680000000004
2011-10-09,3.95,4.1,4.037402696702533,325.4864000000001
2011-10-10,4.0,4.17,4.124129078599005,548.3899
2011-10-11,4.1,3.92,4.03904923675121,682.417852
2011-10-12,3.93,3.969,3.8900178621712556,620.0569820000001
2011-10-13,3.85,3.903,4.049445849011265,893.1027969999999
2011-10-14,4.0,3.835,3.8298298962660815,934.8208610000001
2011-10-15,3.836,3.99,3.9462755616487266,1159.9035949999989
2011-10-16,3.842,3.5,3.6605434056515036,1294.7204119999997
2011-10-17,3.5,2.4,2.7437412137428887,1091.2200869999997
2011-10-18,2.22,2.599,2.5414126956106236,543.0195084
2011-10-19,2.59,2.34,2.414792770838903,669.8807916999989
2011-10-20,2.347,2.12,2.1595017938930594,457.2600332000001
2011-10-21,2.28,2.5,2.4887025132275244,830.8145761999997
2011-10-22,2.5,3.3,2.812005077893554,1191.9258910000003
2011-10-23,3.3,3.326,3.131134489751903,692.5698983000005
2011-10-24,3.121,2.8,2.9658271025174834,439.07486039999975
2011-10-25,2.8,2.88,2.6724401973993865,1004.6509564000005
2011-10-26,2.85,2.705,2.7262816682597033,719.3934546000004
2011-10-27,2.705,2.85,2.799847838698318,701.9948523200006
2011-10-28,2.89,3.14,2.994300972413069,945.1263463699993
2011-10-29,3.14,3.65,3.466879646283128,886.6493111600004
2011-10-30,3.54,3.2,3.4303775833230388,1040.2888402000003
2011-10-31,3.2,3.13,3.1603641490844545,375.04799367
2011-11-01,3.132,3.104,3.1593352915769466,873.8390100600003
2011-11-02,3.185,3.177,3.231036819108763,423.31792710000036
2011-11-03,3.22,3.181,3.244174594577988,368.33524999
2011-11-04,3.25,3.126,3.1617774323947523,936.2709094399999
2011-11-05,3.13,2.98,3.079124503803972,540.1612640300002
2011-11-06,2.98,2.88,2.957578287716112,102.39612800000005
2011-11-07,2.887,2.95,2.934885211755779,499.86407920000016
2011-11-08,3.025,2.97,3.0375940296903066,1645.5668028199993
2011-11-09,2.97,2.832,2.9319964288628313,641.6075529900003
2011-11-10,2.924,2.724,2.796214513457497,690.1267642000001
2011-11-11,2.82,2.895,2.8338855109487104,269.7504909999998
2011-11-12,2.894,2.999,2.9546179757344095,718.2711348600003
